Unnamed: 0,ligne,bol_type_code,ctn_reference,cnt_size,cnt_flag,index,filename
,,,ZCSU8513231,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BEAU5546223,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZMOU8825976,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU5121192,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU2693455,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU7136766,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU2670207,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGHU5203163,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU8770852,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TLLU5197590,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,RFCU5004513,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,ZCSU8984519,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU4419990,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,BEAU5142860,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TGBU5966712,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TLLU5297881,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,AXIU1604758,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,SZLU9062747,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU6908840,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCKU6760681,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCKU1570647,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,MAGU2147320,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TRHU3332559,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU2475572,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCKU3742278,,,,cnt_num_ZIM_12-28-2020_SYD.csv
,,,TCNU8674674,,,,cnt_num_ZIM_12-28-2020_SYD.csv
